Timestamp,Informed Consent options,Have you fully understood the purpose of this survey and how your information will be handled?,What gender do you identify as?,What is your age?,What is the highest level of education you have completed?,What is your current work status?,How do you pay for the majority of your medical expenses?,What is your average monthly household income?,"The hospital should have modern, up-to-date equipment","The hospital's physical facilities should be clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees should be well-dressed and have a neat and professional appearance,Materials associated with the service should be visually appealing,"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records,The hospital's employees should tell the patient exactly when services will be performed,The hospital's employees should provide prompt service to patients,The hospital's employees should always be willing to help patients,The hospital's employees should never be too busy to respond to patients' requests,The behaviour and attitudes of hospital employees should instill confidence in patients,Patients should feel safe in all their dealings with the hospital and its employees,Hospital employees should be consistently courteous to patients,Hospital employees should be knowledgeable and able to answer patients' questions,The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients,"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing,"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records,The hospital's employees tell the patients exactly when services will be performed,The hospital's employees provide prompt service to patients,The hospital's employees are always willing to help patients,The hospital's employees are never too busy to respond to patients' requests,The behaviour and attitudes of hospital employees instill confidence in patients,Patients feel safe in all their dealings with the hospital and its employees,The hospital's employees are consistently courteous to patients,The hospital's employees are knowledgeable and able to answer patients' questions,The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients,Which feature is the most important to you?,"Considering your overall experience at Halisi family Hospital, how likely are you to recommend Halisi Family Hospital to your family and friends?",What can we do to improve your experience?,
5/4/2024 5:45:07,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Self-Employed,Prefer not to say,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,6,"Have Staff who want. to work there and not just pass time and collect a paycheck. The receptionist should be inviting and present like they are happy to see you and happy to serve you. It is does not feel good to be pointed to get a ticket to be served. That ticket machine is supposed to help improve promptness but it is being used the wrong way as in it has made the reception be not promptly attentive to each patient. coming in. Lastly unless the receptionist is a trained triage clinician, the person charged with triage should be somewhere where they can eyeball every. patient who walks into the. hospital and make a judgement of the urgency or emergency of any new patient walking in. I hope the areas I mention have improved since the last time I visited.",
5/4/2024 8:41:13,I agree to participate in the survey,Yes,Female,45-59,Certificate or Diploma,Employed,NHIF Only,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Special clinics times  and day's to be increased ,
5/4/2024 10:33:34,I agree to participate in the survey,Yes,Male,18 - 44,Certificate or Diploma,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Improve on change of shift so in coming shift takes less time especially doctors to attend to patients ,
5/6/2024 8:06:57,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Maintain the PR and ensure patient are well treated ,
5/7/2024 7:28:12,I agree to participate in the survey,Yes,Male,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Getting things done the right way the first time. Diagnosis to be done and guess work should never be a thing or thought in the hospital. Doctors to take their time and examine patients. Doctors to be sincere with patients and not think of the financial gain. Of late doctors prioritize money to the well-being of patients. For instance taking expecting mothers for CS yet the mother to be was able to give birth naturally. I feel this has been a big issue. Late CS be real emergency and not artificialized. ,
5/7/2024 10:36:54,I agree to participate in the survey,Yes,Female,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,Turn around time in all your services,
5/7/2024 12:05:15,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"150,000 and above",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Empathy,
5/7/2024 15:29:13,I agree to participate in the survey,Yes,Male,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,"150,000 and above",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,6,"Reduce the long waiting lines, sometimes someone is dying from inside and yet the number of attendees are not enough hence long time in waiting for services.",
5/7/2024 15:51:14,I agree to participate in the survey,Yes,Female,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Please stock the pharmacy with enough medicine.It is inconveniencing to be told one of the prescribed medicine is out of stock to come back another day.Thank you.,
5/7/2024 16:49:38,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,7,Service time it takes too long to be servered ,
5/7/2024 16:57:08,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"150,000 and above",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Managing the queues better and making use of the consulting rooms ,
5/7/2024 17:51:09,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,10,"Nurse at the clinic didn't perform her duty as expected and gave me the oral meds to give my baby, who in turn spit all of it and she said the baby wouldn't get another dose.",
5/7/2024 17:56:48,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Prefer not to say,Private Health Insurance provided by my employer,Prefer not to say,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,7,Time management ,
5/7/2024 18:12:40,I agree to participate in the survey,Yes,Male,45-59,Certificate or Diploma,Retired,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, Private Health Insurance purchased by self",Prefer not to say,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,Continuous review and improvement,
5/8/2024 8:31:50,I agree to participate in the survey,Yes,Female,18 - 44,Secondary Education,Employed,Private Health Insurance provided by my employer,"150,000 and above",Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,6,Be more reliable and empathetic ,
5/8/2024 20:03:09,I agree to participate in the survey,Yes,Male,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,Continue with the great work.. emulate staff at the pharmacy Mr onyango..not sure about the name,
5/9/2024 9:48:16,I agree to participate in the survey,Yes,Female,18 - 44,Certificate or Diploma,Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Your work is excellent kudos,
5/9/2024 10:07:33,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Follow up with the patient after treatment ,
